Place_Name,Address
Sizzler,"17 Road 231 Maadi Degla, Cairo Governorate 11211"
Spectra,"14 Abd El-Hameed Lotfy St., From El Batal A.Abd El Aziz St, Giza"
What the Crust,"275 Mokarrar Street, Ezbet Fahmy, El Basatin, Cairo275 Mokarrar Street, Ezbet Fahmy, El Basatin, Cairo"
Brown Nose Coffee,"5A By The Waterway, New Cairo 3, Cairo Governorate"
BRGR,"The drive by the waterway, New Cairo 1, Cairo Governorate 4720110"
Bounce Egypt,"Nasr City, Cairo Governorate 11765"
Adrenaline Park-Laser Tag,"Dandy Mall, 28km, Cairo - Alex Desert Rd, Giza Governorate"
C.O.D.E Paintball Egypt,"3F7Q+VHV, Second New Cairo, Cairo Governorate 4750301"
The House,"Street 279, Ezbet Fahmy, El Basatin, Cairo Governorate 4234006"
Bunker,"One Golden Square Mall, El Nasr, Lower Ground level, street branched from 90th road, New Cairo 3, Cairo Governorate"
Go!Padel,"Katameya heights, New Cairo 1, Cairo Governorate 4721010"
Nile Kayak Club,"Kornish Al Nile, Al Isaweyah, El Basatin, Cairo Governorate 4220004"
BeFit 360,"New Cairo 1, Cairo Governorate 4740211"
Osana,"4 Al Nadi, Street, Maadi, Cairo Governorate 4212220"
B-URN,"Swan Lake compound, New Cairo, Egypt Cairo, Egypt"
The Egyptian Museum in Cairo,"El-Tahrir Square, Ismailia, Qasr El Nil, Cairo Governorate 4272083"
The Great Pyramid of Giza,"Al Haram, Nazlet El-Semman, Al Haram, Giza Governorate 3512201"
Cairo Tower,"Kasr Al Nile, Zamalek, Cairo Governorate 4270024"
Citadel of Salah El-Din,"27H6+G27, Privet Entrance Bel Kalaa, Al Abageyah, El Khalifa, Cairo Governorate 4252360"
Alexandria Bibliotheca,"Bab Sharqi, Alexandria Governorate 21526"
