Place_Name,Cat_Name
Sizzler,Food
Spectra,Food
What the Crust,Food
Brown Nose Coffee,Food
BRGR,Food
Bounce Egypt,Activities
Adrenaline Park-Laser Tag,Activities
C.O.D.E Paintball Egypt,Activities
The House,Activities
Bunker,Activities
Go!Padel,Sports
Nile Kayak Club,Sports
BeFit 360,Sports
Osana,Sports
B-URN,Sports
The Egyptian Museum in Cairo,Sightseeing
The Great Pyramid of Giza,Sightseeing
Cairo Tower,Sightseeing
Citadel of Salah El-Din,Sightseeing
Alexandria Bibliotheca,Sightseeing
