Tag_Name,Place_Name
Steak,Sizzler
Dine in,Sizzler
Dine in,Spectra
Pasta,Spectra
Pizza,What the Crust
Dine in,What the Crust
Coffee,Brown Nose Coffee
Breakfast,Brown Nose Coffee
Burger,BRGR
Smoothies,BRGR
Adventure,Bounce Egypt
Fun,Bounce Egypt
Entertainment,Adrenaline Park-Laser Tag
Adventure,Adrenaline Park-Laser Tag
Adventure,C.O.D.E Paintball Egypt
Paintball,C.O.D.E Paintball Egypt
Escape Rooms,The House
Horror,The House
Arcade,Bunker
Bowling,Bunker
Padel,Go!Padel
Squash,Go!Padel
Swimming,Nile Kayak Club
Rowing,Nile Kayak Club
Fitness,BeFit 360
Track,BeFit 360
Yoga,Osana
Fitness,Osana
Yoga,B-URN
Fitness,B-URN
Museum,The Egyptian Museum in Cairo
Historic,The Egyptian Museum in Cairo
Historic,The Great Pyramid of Giza
Landmark,The Great Pyramid of Giza
Cultural,Cairo Tower
Landmark,Cairo Tower
Historic,Citadel of Salah El-Din
Mosque,Citadel of Salah El-Din
Historic,Alexandria Bibliotheca
Cultural,Alexandria Bibliotheca
