Place_Name,Account_Name,SM_Type
Sizzler,Sizzler Steak House,Facebook
Sizzler,sizzlersteakhouse,Instagram
Spectra,Spectra Restaurant & Cafe,Facebook
What the Crust,what_the_crust,Instagram
What the Crust,What the Crust,Facebook
Brown Nose Coffee,brownnosecoffee,Instagram
Brown Nose Coffee,Brown Nose Coffee,Facebook
BRGR,The BRGR Truck,Facebook
BRGR,thebrgrtruck,Instagram
Bounce Egypt,BOUNCEinc,Facebook
Bounce Egypt,bounceegypt,Instagram
Adrenaline Park-Laser Tag,"Adrenalin Park, Egypt",Facebook
Adrenaline Park-Laser Tag,adrenalinegypt,Instagram
C.O.D.E Paintball Egypt,"C.O.D.E. Paintball, Egypt",Facebook
C.O.D.E Paintball Egypt,c.o.d.e_paintball,Instagram
The House,The House,Facebook
The House,thehouse.eg,Instagram
Bunker,Not a bunker,Facebook
Bunker,notabunker,Instagram
Go!Padel,Go Padel,Facebook
Go!Padel,gopadelegypt,Instagram
Nile Kayak Club,Nile Kayak Club,Facebook
Nile Kayak Club,nilekayakclub,Instagram
BeFit 360,befit.360,Instagram
BeFit 360,BeFit 360,Facebook
Osana,Osana Family Wellness,Facebook
Osana,osanafamilywellness,Instagram
B-URN,b_urnegypt,Instagram
B-URN,B-URN,Facebook
The Egyptian Museum in Cairo,egyptian.museum,Instagram
The Egyptian Museum in Cairo,The Egyptian Museum ?????? ??????? ?????? ??????,Facebook
The Great Pyramid of Giza,pyramids_of_egypt,Instagram
The Great Pyramid of Giza,The Great Pyramid of Giza,Facebook
Cairo Tower,Cairo Tower - ??? ???????,Facebook
Cairo Tower,cairotower,Instagram
Citadel of Salah El-Din,Salah Al-Din Citadel,Facebook
Citadel of Salah El-Din,salahaldincitadel,Instagram
Alexandria Bibliotheca,bibalexofficial,Instagram
Alexandria Bibliotheca,Bibliotheca Alexandrina - ????? ??????????,Facebook
